"pre_feeling","post_feeling","grade"
50,70,0.74974951170539
73,85,1.40203158688908
72,70,0.459846367179306
35,75,-0.55481463866199
50,80,1.40203158688908
70,70,0.314894794916264
46,90,0.387370581047785
30,70,-1.06214514158264
20,80,-0.844717783188074
20,20,0.459846367179306
20,75,1.112128442363
65,80,-0.844717783188074
65,60,-0.55481463866199
70,60,-0.917193569319595
50,60,-0.409863066398947
35,70,0.604797939442348
18,90,0.314894794916264
65,90,0.0974674365217003
0,50,-1.13462092771416
12,30,-1.42452407224024
40,70,0.314894794916264
50,70,0.967176870099954
40,70,0.967176870099954
25,0,-1.13462092771416
25,65,-0.482338852530469
50,70,0.822225297836911
80,80,0.967176870099954
20,75,0.822225297836911
23,40,-2.80156400873914
