"strategy","day","profit-per-ticket"
"1 ticket(s)",186,-1
"1 ticket(s)",187,-1
"1 ticket(s)",188,-1
"1 ticket(s)",189,-1
"1 ticket(s)",190,-1
"1 ticket(s)",191,-1
"1 ticket(s)",192,-1
"1 ticket(s)",193,-1
"1 ticket(s)",194,-1
"1 ticket(s)",195,-1
"1 ticket(s)",196,-1
"1 ticket(s)",197,-1
"1 ticket(s)",198,-1
"1 ticket(s)",199,-1
"1 ticket(s)",200,-1
"100 ticket(s)",1,1.5
"100 ticket(s)",2,-0.5
"100 ticket(s)",3,-0.5
"100 ticket(s)",4,0
"100 ticket(s)",5,0.5
"100 ticket(s)",6,9.5
"100 ticket(s)",7,10.5
"100 ticket(s)",8,-1
"100 ticket(s)",9,0
"100 ticket(s)",10,1
"100 ticket(s)",11,0
"100 ticket(s)",12,-0.5
"100 ticket(s)",13,9.5
"100 ticket(s)",14,-0.5
"100 ticket(s)",15,0
"100 ticket(s)",16,9
"100 ticket(s)",17,0
"100 ticket(s)",18,0
"100 ticket(s)",19,0.5
"100 ticket(s)",20,0
"100 ticket(s)",21,-1
"100 ticket(s)",22,0
"100 ticket(s)",23,-0.5
"100 ticket(s)",24,9
"100 ticket(s)",25,0.5
"100 ticket(s)",26,-0.5
"100 ticket(s)",27,-0.5
"100 ticket(s)",28,0.5
"100 ticket(s)",29,0
"100 ticket(s)",30,0
"100 ticket(s)",31,-0.5
"100 ticket(s)",32,9
"100 ticket(s)",33,-0.5
"100 ticket(s)",34,-1
"100 ticket(s)",35,-0.5
"100 ticket(s)",36,0.5
"100 ticket(s)",37,0
"100 ticket(s)",38,10
"100 ticket(s)",39,1
"100 ticket(s)",40,0
"100 ticket(s)",41,9
"100 ticket(s)",42,-0.5
"100 ticket(s)",43,0.5
"100 ticket(s)",44,-1
"100 ticket(s)",45,0
"100 ticket(s)",46,0
"100 ticket(s)",47,0
"100 ticket(s)",48,0.5
"100 ticket(s)",49,-1
"100 ticket(s)",50,1.5
"100 ticket(s)",51,-0.5
"100 ticket(s)",52,-1
"100 ticket(s)",53,-1
"100 ticket(s)",54,-1
"100 ticket(s)",55,0
"100 ticket(s)",56,1.5
"100 ticket(s)",57,1
"100 ticket(s)",58,0.5
"100 ticket(s)",59,0
"100 ticket(s)",60,0
"100 ticket(s)",61,0
"100 ticket(s)",62,0
"100 ticket(s)",63,-0.5
"100 ticket(s)",64,9
"100 ticket(s)",65,0
"100 ticket(s)",66,-0.5
"100 ticket(s)",67,0
"100 ticket(s)",68,-1
"100 ticket(s)",69,0
"100 ticket(s)",70,2
"100 ticket(s)",71,-0.5
"100 ticket(s)",72,-0.5
"100 ticket(s)",73,0
"100 ticket(s)",74,1
"100 ticket(s)",75,-0.5
"100 ticket(s)",76,-0.5
"100 ticket(s)",77,-1
"100 ticket(s)",78,21
"100 ticket(s)",79,-0.5
"100 ticket(s)",80,0
"100 ticket(s)",81,-0.5
"100 ticket(s)",82,0
"100 ticket(s)",83,-0.5
"100 ticket(s)",84,0.5
"100 ticket(s)",85,10
"100 ticket(s)",86,0
"100 ticket(s)",87,0
"100 ticket(s)",88,9
"100 ticket(s)",89,0
"100 ticket(s)",90,-0.5
"100 ticket(s)",91,-0.5
"100 ticket(s)",92,-0.5
"100 ticket(s)",93,10.5
"100 ticket(s)",94,-0.5
"100 ticket(s)",95,0
"100 ticket(s)",96,0
"100 ticket(s)",97,-1
"100 ticket(s)",98,-1
"100 ticket(s)",99,1
"100 ticket(s)",100,1.5
"100 ticket(s)",101,0
"100 ticket(s)",102,-1
"100 ticket(s)",103,-1
"100 ticket(s)",104,0
"100 ticket(s)",105,0
"100 ticket(s)",106,0
