xbar
5.5
5.9
5.3
5.7
5.5
5.3
5.5
5.7
5.4
5.7
4.8
4.4
4.5
4.2
6.2
6.3
6.9
6.5
6.6
6.8
6.6
6.8
6.4
6.1
6
6.8
6.6
6.5
6.5
6.9
6.8
6.5
6.1
6.7
6.1
6.6
6.5
6.4
6.8
7.2
7.7
7.3
7.6
7
7
7.8
7.7
7.8
7.2
7.4
7.8
7.5
7.8
7
7.5
7.2
7
8.9
8.1
9.4
9
8.6
8.2
3.8
4.8
4.8
4.3
5.8
5.9
5.4
5.3
5.9
5.8
5.6
5.6
5.2
5.3
5.8
6.2
6.1
6.2
6.4
6.6
6.7
6.6
6.9
6.3
6.3
6.6
6.8
6.1
6.9
6.1
6.2
6.8
6.7
6.6
7.4
7.4
7.8
7.2
7.1
7.9
7.5
7.7
7.8
7.2
7.1
8.6
8.8
8.3
8.4
8.1
8.7
8.7
8.2
8
8.6
9
